"","numf","numm"
"106",3.75,5
"107",2,2
"108",1.44444444444444,6.5
"109",2,3
"110",1.35714285714286,9.5
"111",3,1.5
"112",2.625,4.66666666666667
"113",1.3,4.33333333333333
"114",3.14285714285714,3.14285714285714
"115",3.125,4.16666666666667
"116",1.27272727272727,7
"117",2.0625,8.25
"118",1.33333333333333,8
"119",3.5,4
"120",1.90909090909091,4.2
"121",1.45454545454545,8
"122",1,1
"123",4.25,6.375
"124",2,1
"125",1.2,3
"126",1,7
"127",3.25,4.33333333333333
"128",1.44444444444444,6.5
"129",2.5,3
"130",1.8,2.25
"131",1.5,5
"132",1.28571428571429,3
"133",0,0
"134",1.5,4.5
"135",3.90909090909091,6.14285714285714
"136",1.57142857142857,3.66666666666667
"137",1.5,3
"138",1,8
"139",2,4.66666666666667
"140",1.28571428571429,3
"141",3.66666666666667,8.25
"142",3.75,6
"143",0,0
"144",2.33333333333333,5.6
"145",5.83333333333333,11.6666666666667
"146",1.83333333333333,7.33333333333333
"147",1.33333333333333,6
"148",2.72727272727273,5
"149",1.6,2
"150",1.3,6.5
"151",1.27272727272727,4.66666666666667
"152",3.42857142857143,4.8
"153",1,4
"154",1.45454545454545,8
"155",1.5,7.5
"156",5.94117647058824,12.625
"157",1.33333333333333,6.66666666666667
"158",1.8,2.25
"159",1.42857142857143,3.33333333333333
"160",2.5,3
"161",3.26666666666667,6.125
"162",3.8,6.33333333333333
"163",5.125,11.7142857142857
"164",3.16666666666667,5.42857142857143
"165",1,9
"166",1.66666666666667,4
"167",4.08333333333333,7
"168",1.58333333333333,9.5
"169",2.64705882352941,7.5
"170",1.33333333333333,1.33333333333333
"171",1.8,2.25
"172",1.71428571428571,8
"173",1.25,8.33333333333333
"174",1.33333333333333,1.33333333333333
"175",1,4
"176",2.16666666666667,6.5
"177",1,10
"178",2.45,8.16666666666667
"179",1.8,4.5
"180",2,4
"181",1.3,6.5
"182",2,8
"183",1.76923076923077,7.66666666666667
"184",2.11764705882353,9
"185",1.76923076923077,7.66666666666667
"186",1.58333333333333,9.5
"187",3.58333333333333,5.375
"188",1.23809523809524,8.66666666666667
"189",1,1
"190",1,6
"191",1.73333333333333,6.5
"192",2.33333333333333,2.33333333333333
"193",4.44444444444444,4.44444444444444
"194",1.16666666666667,3.5
"195",1,8
"196",2.94736842105263,7
"197",1,1
